rank,document,verdict
1,dok253.txt,WA
2,dok331.txt,WA
3,dok101.txt,WA
4,dok30.txt,WA
5,dok24.txt,WA
6,dok95.txt,WA
7,dok394.txt,WA
8,dok385.txt,WA
9,dok402.txt,WA
10,dok113.txt,WA
11,dok42.txt,WA
12,dok319.txt,WA
13,dok189.txt,WA
14,dok15.txt,WA
15,dok86.txt,WA
16,dok248.txt,WA
17,dok19.txt,WA
18,dok90.txt,WA
19,dok111.txt,WA
20,dok40.txt,WA
21,dok275.txt,WA
22,dok365.txt,WA
23,dok224.txt,WA
24,dok269.txt,WA
25,dok261.txt,WA
26,dok6.txt,WA
27,dok77.txt,WA
28,dok209.txt,WA
29,dok334.txt,WA
30,dok230.txt,WA
31,dok236.txt,WA
32,dok227.txt,WA
33,dok11.txt,WA
34,dok82.txt,WA
35,dok202.txt,WA
36,dok328.txt,WA
37,dok232.txt,WA
38,dok308.txt,WA
39,dok115.txt,WA
40,dok44.txt,WA
41,dok351.txt,WA
42,dok267.txt,WA
43,dok397.txt,WA
44,dok297.txt,WA
45,dok231.txt,WA
46,dok162.txt,WA
47,dok10.txt,WA
48,dok81.txt,WA
49,dok176.txt,WA
50,dok353.txt,WA
51,dok28.txt,WA
52,dok99.txt,WA
53,dok217.txt,WA
54,dok392.txt,WA
55,dok220.txt,WA
56,dok279.txt,WA
57,dok196.txt,WA
58,dok401.txt,WA
59,dok23.txt,WA
60,dok94.txt,WA
61,dok2.txt,WA
62,dok73.txt,WA
63,dok131.txt,WA
64,dok60.txt,WA
65,dok374.txt,WA
66,dok188.txt,WA
67,dok280.txt,WA
68,dok126.txt,WA
69,dok55.txt,WA
70,dok272.txt,WA
71,dok340.txt,WA
72,dok20.txt,WA
73,dok91.txt,WA
74,dok128.txt,WA
75,dok57.txt,WA
76,dok371.txt,WA
77,dok159.txt,WA
78,dok203.txt,WA
79,dok204.txt,WA
80,dok166.txt,WA
81,dok243.txt,WA
82,dok240.txt,WA
83,dok124.txt,WA
84,dok53.txt,WA
85,dok79.txt,WA
86,dok8.txt,WA
87,dok165.txt,WA
88,dok17.txt,WA
89,dok88.txt,WA
90,dok152.txt,WA
91,dok206.txt,WA
92,dok266.txt,WA
93,dok16.txt,WA
94,dok87.txt,WA
95,dok183.txt,WA
96,dok295.txt,WA
97,dok127.txt,AC
98,dok56.txt,AC
99,dok252.txt,WA
100,dok180.txt,WA
