rank,document,verdict
1,dok24.txt,WA
2,dok95.txt,WA
3,dok385.txt,WA
4,dok253.txt,WA
5,dok394.txt,WA
6,dok15.txt,WA
7,dok86.txt,WA
8,dok142.txt,WA
9,dok71.txt,WA
10,dok25.txt,WA
11,dok96.txt,WA
12,dok117.txt,WA
13,dok46.txt,WA
14,dok145.txt,WA
15,dok157.txt,WA
16,dok299.txt,WA
17,dok390.txt,WA
18,dok248.txt,WA
19,dok261.txt,WA
20,dok111.txt,WA
21,dok40.txt,WA
22,dok276.txt,WA
23,dok402.txt,WA
24,dok11.txt,WA
25,dok82.txt,WA
26,dok343.txt,WA
27,dok393.txt,WA
28,dok161.txt,WA
29,dok400.txt,AC
30,dok176.txt,WA
31,dok373.txt,WA
32,dok399.txt,WA
33,dok365.txt,WA
34,dok371.txt,WA
35,dok197.txt,WA
36,dok200.txt,WA
37,dok274.txt,WA
38,dok225.txt,WA
39,dok224.txt,WA
40,dok150.txt,WA
41,dok1.txt,WA
42,dok72.txt,WA
43,dok214.txt,WA
44,dok108.txt,WA
45,dok37.txt,WA
46,dok169.txt,WA
47,dok228.txt,WA
48,dok125.txt,WA
49,dok54.txt,WA
50,dok272.txt,WA
51,dok217.txt,WA
52,dok18.txt,WA
53,dok89.txt,WA
54,dok338.txt,WA
55,dok209.txt,WA
56,dok325.txt,WA
57,dok401.txt,WA
58,dok213.txt,AC
59,dok268.txt,WA
60,dok379.txt,WA
61,dok110.txt,WA
62,dok39.txt,WA
63,dok186.txt,WA
64,dok249.txt,WA
65,dok283.txt,WA
66,dok369.txt,WA
67,dok364.txt,AC
68,dok247.txt,WA
69,dok260.txt,WA
70,dok243.txt,WA
71,dok168.txt,WA
72,dok296.txt,WA
73,dok104.txt,WA
74,dok33.txt,WA
75,dok128.txt,WA
76,dok57.txt,WA
77,dok288.txt,WA
78,dok79.txt,WA
79,dok8.txt,WA
80,dok291.txt,WA
81,dok309.txt,WA
82,dok129.txt,WA
83,dok58.txt,WA
84,dok204.txt,WA
85,dok300.txt,WA
86,dok166.txt,WA
87,dok192.txt,WA
88,dok146.txt,WA
89,dok255.txt,WA
90,dok124.txt,WA
91,dok53.txt,WA
92,dok193.txt,WA
93,dok306.txt,WA
94,dok180.txt,WA
95,dok251.txt,WA
96,dok183.txt,WA
97,dok252.txt,WA
98,dok127.txt,WA
99,dok56.txt,WA
