rank,document,verdict,Precision,Recall
1,dok103.txt,AC,1.0,0.2
2,dok32.txt,AC,1.0,0.4
3,dok142.txt,AC,1.0,0.6
4,dok71.txt,AC,1.0,0.8
5,dok114.txt,WA,0.8,0.8
6,dok43.txt,WA,0.6666666666666666,0.8
7,dok394.txt,AC,0.7142857142857143,1.0
8,dok369.txt,WA,0.625,1.0
9,dok184.txt,WA,0.5555555555555556,1.0
10,dok339.txt,WA,0.5,1.0
11,dok232.txt,WA,0.45454545454545453,1.0
12,dok380.txt,WA,0.4166666666666667,1.0
13,dok258.txt,WA,0.38461538461538464,1.0
14,dok25.txt,WA,0.35714285714285715,1.0
15,dok96.txt,WA,0.3333333333333333,1.0
16,dok26.txt,WA,0.3125,1.0
17,dok97.txt,WA,0.29411764705882354,1.0
18,dok115.txt,WA,0.2777777777777778,1.0
19,dok44.txt,WA,0.2631578947368421,1.0
20,dok137.txt,WA,0.25,1.0
21,dok191.txt,WA,0.23809523809523808,1.0
22,dok326.txt,WA,0.22727272727272727,1.0
23,dok66.txt,WA,0.21739130434782608,1.0
24,dok157.txt,WA,0.20833333333333334,1.0
25,dok130.txt,WA,0.2,1.0
26,dok59.txt,WA,0.19230769230769232,1.0
27,dok371.txt,WA,0.18518518518518517,1.0
28,dok381.txt,WA,0.17857142857142858,1.0
29,dok2.txt,WA,0.1724137931034483,1.0
30,dok73.txt,WA,0.16666666666666666,1.0
31,dok397.txt,WA,0.16129032258064516,1.0
32,dok1.txt,WA,0.15625,1.0
33,dok302.txt,WA,0.15151515151515152,1.0
34,dok72.txt,WA,0.14705882352941177,1.0
35,dok134.txt,WA,0.14285714285714285,1.0
36,dok63.txt,WA,0.1388888888888889,1.0
37,dok364.txt,WA,0.13513513513513514,1.0
38,dok370.txt,WA,0.13157894736842105,1.0
39,dok188.txt,WA,0.1282051282051282,1.0
40,dok189.txt,WA,0.125,1.0
41,dok319.txt,WA,0.12195121951219512,1.0
42,dok111.txt,WA,0.11904761904761904,1.0
43,dok40.txt,WA,0.11627906976744186,1.0
44,dok28.txt,WA,0.11363636363636363,1.0
45,dok99.txt,WA,0.1111111111111111,1.0
46,dok284.txt,WA,0.10869565217391304,1.0
47,dok261.txt,WA,0.10638297872340426,1.0
48,dok269.txt,WA,0.10416666666666667,1.0
49,dok138.txt,WA,0.10204081632653061,1.0
50,dok335.txt,WA,0.1,1.0
51,dok67.txt,WA,0.09803921568627451,1.0
52,dok21.txt,WA,0.09615384615384616,1.0
53,dok92.txt,WA,0.09433962264150944,1.0
54,dok144.txt,WA,0.09259259259259259,1.0
55,dok343.txt,WA,0.09090909090909091,1.0
56,dok400.txt,WA,0.08928571428571429,1.0
57,dok372.txt,WA,0.08771929824561403,1.0
58,dok248.txt,WA,0.08620689655172414,1.0
59,dok186.txt,WA,0.0847457627118644,1.0
60,dok180.txt,WA,0.08333333333333333,1.0
61,dok385.txt,WA,0.08196721311475409,1.0
62,dok273.txt,WA,0.08064516129032258,1.0
63,dok315.txt,WA,0.07936507936507936,1.0
64,dok300.txt,WA,0.078125,1.0
65,dok393.txt,WA,0.07692307692307693,1.0
66,dok179.txt,WA,0.07575757575757576,1.0
67,dok253.txt,WA,0.07462686567164178,1.0
68,dok24.txt,WA,0.07352941176470588,1.0
69,dok95.txt,WA,0.07246376811594203,1.0
70,dok141.txt,WA,0.07142857142857142,1.0
71,dok15.txt,WA,0.07042253521126761,1.0
72,dok194.txt,WA,0.06944444444444445,1.0
73,dok305.txt,WA,0.0684931506849315,1.0
74,dok329.txt,WA,0.06756756756756757,1.0
75,dok70.txt,WA,0.06666666666666667,1.0
76,dok86.txt,WA,0.06578947368421052,1.0
77,dok240.txt,WA,0.06493506493506493,1.0
78,dok293.txt,WA,0.0641025641025641,1.0
79,dok271.txt,WA,0.06329113924050633,1.0
80,dok327.txt,WA,0.0625,1.0
81,dok402.txt,WA,0.06172839506172839,1.0
82,dok143.txt,WA,0.06097560975609756,1.0
83,dok158.txt,WA,0.060240963855421686,1.0
84,dok286.txt,WA,0.05952380952380952,1.0
85,dok396.txt,WA,0.058823529411764705,1.0
86,dok116.txt,WA,0.05813953488372093,1.0
87,dok16.txt,WA,0.05747126436781609,1.0
88,dok266.txt,WA,0.056818181818181816,1.0
89,dok332.txt,WA,0.056179775280898875,1.0
90,dok353.txt,WA,0.05555555555555555,1.0
91,dok391.txt,WA,0.054945054945054944,1.0
92,dok45.txt,WA,0.05434782608695652,1.0
93,dok87.txt,WA,0.053763440860215055,1.0
94,dok208.txt,WA,0.05319148936170213,1.0
95,dok356.txt,WA,0.05263157894736842,1.0
96,dok382.txt,WA,0.052083333333333336,1.0
97,dok395.txt,WA,0.05154639175257732,1.0
98,dok176.txt,WA,0.05102040816326531,1.0
99,dok231.txt,WA,0.050505050505050504,1.0
100,dok351.txt,WA,0.05,1.0
average precision,0.19153554254864769
